import time: self [us] | cumulative | imported package
import time:      1780 |       3823 |                   ctypes
import time:      1474 |       8059 |                 numpy._core._internal
import time:       728 |        728 |                 numpy._pytesttester
import time:      1461 |      56874 |               numpy._core
import time:        36 |      56910 |             numpy._core._multiarray_umath
import time:       819 |      57728 |           numpy.__config__
import time:       679 |        679 |               numpy.lib._array_utils_impl
import time:       978 |       1656 |             numpy.lib.array_utils
import time:       664 |        664 |             numpy.lib.introspect
import time:       730 |        730 |             numpy.lib.mixins
import time:      1834 |       1834 |                     textwrap
import time:      3164 |       3164 |                     platform
import time:       727 |       5724 |                   numpy.lib._utils_impl
import time:       805 |       6528 |                 numpy.lib.format
import time:       890 |        890 |                 numpy.lib._datasource
import time:       856 |        856 |                 numpy.lib._iotools
import time:      1095 |       9368 |               numpy.lib._npyio_impl
import time:       549 |       9917 |             numpy.lib.npyio
import time:       596 |        596 |                   numpy.lib._ufunclike_impl
import time:       727 |       1322 |                 numpy.lib._type_check_impl
import time:       727 |       2049 |               numpy.lib._scimath_impl
import time:       589 |       2637 |             numpy.lib.scimath
import time:       813 |        813 |               numpy.lib._stride_tricks_impl
import time:       543 |       1356 |             numpy.lib.stride_tricks
import time:       681 |        681 |                     numpy.linalg.linalg
import time:       847 |        847 |                       numpy.lib._twodim_base_impl
import time:       728 |        728 |                       numpy.linalg._umath_linalg
import time:       715 |        715 |                         __future__
import time:       820 |        820 |                         numpy._typing._nested_sequence
import time:       678 |        678 |                         numpy._typing._nbit_base
import time:       533 |        533 |                         numpy._typing._nbit
import time:      3145 |       3145 |                         numpy._typing._char_codes
import time:       650 |        650 |                         numpy._typing._scalars
import time:       550 |        550 |                         numpy._typing._shape
import time:      3953 |       3953 |                         numpy._typing._dtype_like
import time:      2743 |       2743 |                         numpy._typing._array_like
import time:       587 |        587 |                         numpy._typing._ufunc
import time:       882 |      15251 |                       numpy._typing
import time:      1745 |      18570 |                     numpy.linalg._linalg
import time:       724 |      19975 |                   numpy.linalg
import time:      1472 |      21446 |                 numpy.matrixlib.defmatrix
import time:       910 |      22356 |               numpy.matrixlib
import time:       783 |        783 |                 numpy.lib._histograms_impl
import time:      1483 |       2266 |               numpy.lib._function_base_impl
import time:      1208 |      25828 |             numpy.lib._index_tricks_impl
import time:       884 |        884 |             numpy.lib._nanfunctions_impl
import time:       826 |        826 |             numpy.lib._shape_base_impl
import time:      1132 |       1132 |             numpy.lib._arraysetops_impl
import time:      1077 |       1077 |             numpy.lib._polynomial_impl
